dcterms:title,schema:artform,dcterms:alternative,crm:P1_is_identified_by,crm:P54_has_current_permanent_location,schema:geo,dcterms:temporal,crm:P4_has_time-span,crm:P7_took_place_at,schema:locationCreated,schema:geographicArea,schema:creator,schema:contributor,crm:P15_was_influenced_by,dcterms:abstract,crm:P72_has_language,dcterms:subject,schema:itemCondition,schema:observationDate,crm:P31i_was_modified_by,schema:dateModified,dcterms:date,dcterms:isPartOf,dcterms:hasPart,crm:P59_has_section,schema:artworkSurface,dcterms:isReferencedBy,dcterms:source,dcterms:identifier,dcterms:creator,dcterms:created,dcterms:modified,dcterms:references,dcterms:accessRights,crm:P138i_has_representation,dcterms:image
Le Bienheureux Ranieri Rasini montre aux frères réunis en prière l'âme de l'avare de Citerna emportée par les démons§Choeur de franciscains,peinture,,RF 1988 9,Musée du Louvre Paris,"48.860591,2.337582",1437-1444,1437§1444,,,,Sassetta,,Angelico,,,,,,,,,,,f15e4e4b-70ca-4406-aa3c-560c9e64b118_004§f15e4e4b-70ca-4406-aa3c-560c9e64b118_005§f15e4e4b-70ca-4406-aa3c-560c9e64b118_006§f15e4e4b-70ca-4406-aa3c-560c9e64b118_007§f15e4e4b-70ca-4406-aa3c-560c9e64b118_008§f15e4e4b-70ca-4406-aa3c-560c9e64b118_009§f15e4e4b-70ca-4406-aa3c-560c9e64b118_010§f15e4e4b-70ca-4406-aa3c-560c9e64b118_012§f15e4e4b-70ca-4406-aa3c-560c9e64b118_013§f15e4e4b-70ca-4406-aa3c-560c9e64b118_014§f15e4e4b-70ca-4406-aa3c-560c9e64b118_015§f15e4e4b-70ca-4406-aa3c-560c9e64b118_016§f15e4e4b-70ca-4406-aa3c-560c9e64b118_017§f15e4e4b-70ca-4406-aa3c-560c9e64b118_018§f15e4e4b-70ca-4406-aa3c-560c9e64b118_019§f15e4e4b-70ca-4406-aa3c-560c9e64b118_020§f15e4e4b-70ca-4406-aa3c-560c9e64b118_022§f15e4e4b-70ca-4406-aa3c-560c9e64b118_023§f15e4e4b-70ca-4406-aa3c-560c9e64b118_024§f15e4e4b-70ca-4406-aa3c-560c9e64b118_025§f15e4e4b-70ca-4406-aa3c-560c9e64b118_026§f15e4e4b-70ca-4406-aa3c-560c9e64b118_027§f15e4e4b-70ca-4406-aa3c-560c9e64b118_028§f15e4e4b-70ca-4406-aa3c-560c9e64b118_029§f15e4e4b-70ca-4406-aa3c-560c9e64b118_030§f15e4e4b-70ca-4406-aa3c-560c9e64b118_031§f15e4e4b-70ca-4406-aa3c-560c9e64b118_032§f15e4e4b-70ca-4406-aa3c-560c9e64b118_033§f15e4e4b-70ca-4406-aa3c-560c9e64b118_034§f15e4e4b-70ca-4406-aa3c-560c9e64b118_035§f15e4e4b-70ca-4406-aa3c-560c9e64b118_036§f15e4e4b-70ca-4406-aa3c-560c9e64b118_037,f15e4e4b-70ca-4406-aa3c-560c9e64b118_001§f15e4e4b-70ca-4406-aa3c-560c9e64b118_002§f15e4e4b-70ca-4406-aa3c-560c9e64b118_003§f15e4e4b-70ca-4406-aa3c-560c9e64b118_011§f15e4e4b-70ca-4406-aa3c-560c9e64b118_021,"Sassetta Vers 1392 - 1450, de, Le Bienheureux Ranieri Rasini montre aux frères réunis en prière l'âme de l'avare de Citerna emportée par les démons, peinture (1437 - 1444)§Ministère de la Culture, Paris§Musée du Louvre (1793 - ), Paris",https://agorha.inha.fr/ark:/54721/f15e4e4b-70ca-4406-aa3c-560c9e64b118§https://www.pop.culture.gouv.fr/notice/joconde/00000104586§https://collections.louvre.fr/ark:/53355/cl010061315,f15e4e4b-70ca-4406-aa3c-560c9e64b118,Philomène Renard,13/05/2005,17/11/2023,La fabrique matérielle du visuel. Panneaux peints en Méditerranée XIIIe-XVIe siècles,source : Institut national d'histoire de l'art (France) ; Bibliothèque nationale de France§licence : Attribution 4.0 International (CC BY 4.0),https://agorha.inha.fr/iiif/presentation/v2/f15e4e4b-70ca-4406-aa3c-560c9e64b118,https://agorha.inha.fr/ark:/54721/9df0d47f-f92a-481c-a73d-e9321468a98a/doc/b9479b31-3882-4dc9-953d-fe24173261bd/original.jpg
Triptyque de l'Assomption de la Vierge,peinture§triptyque,,INV.MS. P 4731,Musée Marmottan Monet Paris§Dépôt,"48.859261,2.267227",4e quart du 13e siècle - 1er quart du 14e siècle,1276§1325,Fin 13e siècle - Début 14e siècle,,,Maestro di Cesi,,,,,,,,,,,,,,aca0f2ed-3e79-4af1-b124-01951b817c7a_001§aca0f2ed-3e79-4af1-b124-01951b817c7a_002,"Maestro di Cesi , de, Triptyque de l'Assomption de la Vierge, peinture (4e quart du 13e siècle - 1er quart du 14e siècle)",https://agorha.inha.fr/ark:/54721/aca0f2ed-3e79-4af1-b124-01951b817c7a,aca0f2ed-3e79-4af1-b124-01951b817c7a,Philomène Renard,22/06/2007,25/10/2023,La fabrique matérielle du visuel. Panneaux peints en Méditerranée XIIIe-XVIe siècles,source : Institut national d'histoire de l'art (France) ; Bibliothèque nationale de France§licence : Attribution 4.0 International (CC BY 4.0),https://agorha.inha.fr/iiif/presentation/v2/aca0f2ed-3e79-4af1-b124-01951b817c7a,https://agorha.inha.fr/ark:/54721/cf2a04c3-743c-4b76-a88f-dc91f3212c6b/doc/7b9c5e84-a1fc-4ab4-8e6c-278a835471c9/original.jpg
Crucifixion et quatre scènes de la Passion du Christ,peinture§triptyque,,3789,Musée de l'Institute of Ethiopian Studies à ajouter,,16e siècle§4e quart du 14e siècle - 1er quart du 15e siècle,1496§1605§1376§1425,,Ethiopie§Gondar ?,"9,39.5",,,,,,Crucifixion§Passion,,,,,,,,,,"Crucifixion et quatre scènes de la Passion du Christ, peinture (Vers 16e siècle - )",http://agorha.inha.fr/ark:/54721/5216fd61-5bbb-49dc-9bbe-4a80953262e5,5216fd61-5bbb-49dc-9bbe-4a80953262e5,smirabau,16/07/2021,29/03/2022,La fabrique matérielle du visuel. Panneaux peints en Méditerranée XIIIe-XVIe siècles,source : Institut national d'histoire de l'art (France) ; Bibliothèque nationale de France§licence : Attribution 4.0 International (CC BY 4.0),https://agorha.inha.fr/iiif/presentation/v2/5216fd61-5bbb-49dc-9bbe-4a80953262e5,http://agorha.inha.fr/ark:/54721/24f8aa3c-d7a3-4dbd-92d0-72e33d8acb26/doc/4175b3fa-ae42-4557-aebe-83a83df50115/original.JPG
Vierge à l'enfant et Crucifixion,peinture§diptyque,,4494,Musée de l'Institute of Ethiopian Studies à ajouter,,18e siècle,1701§1800,,Ethiopie,"9,39.5",,,,,,Vierge à l'Enfant§Crucifixion,,,,,,,,,,"Vierge à l'enfant et Crucifixion, peinture (18e siècle - )",http://agorha.inha.fr/ark:/54721/04fb2dfc-5251-4fc4-b68c-df4442a4396b,04fb2dfc-5251-4fc4-b68c-df4442a4396b,smirabau,16/07/2021,29/03/2022,La fabrique matérielle du visuel. Panneaux peints en Méditerranée XIIIe-XVIe siècles,source : Institut national d'histoire de l'art (France) ; Bibliothèque nationale de France§licence : Attribution 4.0 International (CC BY 4.0),https://agorha.inha.fr/iiif/presentation/v2/04fb2dfc-5251-4fc4-b68c-df4442a4396b,http://agorha.inha.fr/ark:/54721/9d828db8-4700-42f4-9720-65e768249aab/doc/b83a328b-2ba0-479f-be14-9621439cf8c9/original.JPG
"Les douze apôtres, la Vierge et l'Enfant",peinture§diptyque,,10249,Musée de l'Institute of Ethiopian Studies,"9.033691034659688,38.76369515199023",1480-1520,1475§1525,,Ethiopie,"9,39.5","Brancaleon, Niccolò",,,"signé au revers. En latin ""H(oc est) opus meus Nicolaus Brancaleo venetus"" : ceci est mon œuvre, Nicolas Brancaleon le vénitien. En grec : moi, Nicolas le moine (monakos) ait peint cette icône (eikon)",,Vierge à l'Enfant§Les Apôtres,,,,,,,,d43cb3f5-ab3d-4281-9575-93d25f64c8f8_003§d43cb3f5-ab3d-4281-9575-93d25f64c8f8_004§d43cb3f5-ab3d-4281-9575-93d25f64c8f8_005§d43cb3f5-ab3d-4281-9575-93d25f64c8f8_006§d43cb3f5-ab3d-4281-9575-93d25f64c8f8_007§d43cb3f5-ab3d-4281-9575-93d25f64c8f8_008§d43cb3f5-ab3d-4281-9575-93d25f64c8f8_009§d43cb3f5-ab3d-4281-9575-93d25f64c8f8_010§d43cb3f5-ab3d-4281-9575-93d25f64c8f8_011§d43cb3f5-ab3d-4281-9575-93d25f64c8f8_012§d43cb3f5-ab3d-4281-9575-93d25f64c8f8_013§d43cb3f5-ab3d-4281-9575-93d25f64c8f8_014§d43cb3f5-ab3d-4281-9575-93d25f64c8f8_015§d43cb3f5-ab3d-4281-9575-93d25f64c8f8_016§d43cb3f5-ab3d-4281-9575-93d25f64c8f8_017§d43cb3f5-ab3d-4281-9575-93d25f64c8f8_018§d43cb3f5-ab3d-4281-9575-93d25f64c8f8_019§d43cb3f5-ab3d-4281-9575-93d25f64c8f8_020§d43cb3f5-ab3d-4281-9575-93d25f64c8f8_021,d43cb3f5-ab3d-4281-9575-93d25f64c8f8_001§d43cb3f5-ab3d-4281-9575-93d25f64c8f8_002,"Brancaleon, Niccolò Vers 1480 - Vers 1525, de, Les douze apôtres, la Vierge et l'Enfant, peinture (Vers 1480 - Vers 1520)",https://agorha.inha.fr/ark:/54721/d43cb3f5-ab3d-4281-9575-93d25f64c8f8,d43cb3f5-ab3d-4281-9575-93d25f64c8f8,smirabau,16/07/2021,21/05/2024,La fabrique matérielle du visuel. Panneaux peints en Méditerranée XIIIe-XVIe siècles,source : Institut national d'histoire de l'art (France) ; Bibliothèque nationale de France§licence : Attribution 4.0 International (CC BY 4.0),https://agorha.inha.fr/iiif/presentation/v2/d43cb3f5-ab3d-4281-9575-93d25f64c8f8,https://agorha.inha.fr/ark:/54721/f8553933-561e-4cf7-8714-063687c3ba31/doc/79f5af85-ec34-491a-b813-4e94a5985198/original.jpg
Vierge à l'Enfant et Crucifixion,peinture§diptyque,,4325,Musée de l'Institute of Ethiopian Studies à ajouter,,4e quart du 15e siècle - 1er quart du 16e siècle,1476§1525,Fin 15e siècle - Début 16e siècle,Ethiopie,"9,39.5",,,,,,Vierge à l'Enfant§Crucifixion,,,,,,,,,,"Vierge à l'Enfant et Crucifixion, peinture (4e quart du 15e siècle - 1er quart du 16e siècle)",http://agorha.inha.fr/ark:/54721/ba6d9671-4cae-4094-aaf5-5459e0feb531,ba6d9671-4cae-4094-aaf5-5459e0feb531,smirabau,16/07/2021,29/03/2022,La fabrique matérielle du visuel. Panneaux peints en Méditerranée XIIIe-XVIe siècles,source : Institut national d'histoire de l'art (France) ; Bibliothèque nationale de France§licence : Attribution 4.0 International (CC BY 4.0),https://agorha.inha.fr/iiif/presentation/v2/ba6d9671-4cae-4094-aaf5-5459e0feb531,http://agorha.inha.fr/ark:/54721/12e44619-7e91-4acb-a98b-bd50da483ef7/doc/685ef054-163b-45e6-983b-1a0d77a32abc/original.JPG
Kwerata re'esu,peinture§triptyque,,6967,Musée de l'Institute of Ethiopian Studies à ajouter,,1ère moitié du 18e siècle,1701§1750,,Ethiopie,"9,39.5",,,,,,,,,,,,,,,,"Kwerata re'esu, peinture (1ère moitié du 18e siècle - )",http://agorha.inha.fr/ark:/54721/f01afa48-265b-4b88-998e-c17d243281d6,f01afa48-265b-4b88-998e-c17d243281d6,smirabau,16/07/2021,30/03/2022,La fabrique matérielle du visuel. Panneaux peints en Méditerranée XIIIe-XVIe siècles,source : Institut national d'histoire de l'art (France) ; Bibliothèque nationale de France§licence : Attribution 4.0 International (CC BY 4.0),https://agorha.inha.fr/iiif/presentation/v2/f01afa48-265b-4b88-998e-c17d243281d6,http://agorha.inha.fr/ark:/54721/f32742af-a89e-43b0-a623-6d06dbff1d4a/doc/3ea00c3a-b2c8-47dc-99ea-cf401dbbb0e6/original.JPG
L'Adoration des Mages,peinture,,MFA 852.1.730.1,Palais Fesch-musée des beaux-arts Ajaccio,"41.919229,8.738635",14e siècle - 14e siècle,1301§1400,,,,Francesco da Rimini,,Giotto,,,,,,,,,,,,0155abda-6220-40d2-8c30-ded49f7f7a95_001,"Francesco da Rimini , de, L'Adoration des Mages, peinture (14e siècle)§Palais Fesch-musée des Beaux-Arts, Ajaccio",https://agorha.inha.fr/ark:/54721/0155abda-6220-40d2-8c30-ded49f7f7a95§https://www.musee-fesch.com/peintures-des-primitifs-et-de-la-renaissance/ladoration-des-mages-la-crucifixion-la-vision-de-la-bienheureuse-claire-de-rimini-4082,0155abda-6220-40d2-8c30-ded49f7f7a95,lea.checri@inha.fr,23/06/2023,25/10/2023,La fabrique matérielle du visuel. Panneaux peints en Méditerranée XIIIe-XVIe siècles,source : Institut national d'histoire de l'art (France) ; Bibliothèque nationale de France§licence : Attribution 4.0 International (CC BY 4.0),https://agorha.inha.fr/iiif/presentation/v2/0155abda-6220-40d2-8c30-ded49f7f7a95,https://agorha.inha.fr/ark:/54721/26deb1d2-50e0-45db-b6f2-c944f9353dbd/doc/52f1caaa-137d-49f0-971a-1d469fd7162f/original.jpg
A SUPPRIMER : L'Adoration des Mages ; La Crucifixion avec saint François ; La Vision de la bienheureuse Claire de Rimini,peinture,,MFA 852.1.730,Palais Fesch-musée des beaux-arts Ajaccio,"41.919229,8.738635",14e siècle - 14e siècle,1301§1400,,,,Francesco da Rimini,,Giotto,,,,,,,,,,,,139a2d94-39d1-46dd-8732-ee3b8c6ba199_001,"Francesco da Rimini , de, A SUPPRIMER : L'Adoration des Mages ; La Crucifixion avec saint François ; La Vision de la bienheureuse Claire de Rimini, peinture (14e siècle)§Palais Fesch-musée des Beaux-Arts, Ajaccio",https://agorha.inha.fr/ark:/54721/139a2d94-39d1-46dd-8732-ee3b8c6ba199§https://www.musee-fesch.com/peintures-des-primitifs-et-de-la-renaissance/ladoration-des-mages-la-crucifixion-la-vision-de-la-bienheureuse-claire-de-rimini-4082,139a2d94-39d1-46dd-8732-ee3b8c6ba199,Léa Checri (pour le bloc matérialité),23/12/2001,25/10/2023,La fabrique matérielle du visuel. Panneaux peints en Méditerranée XIIIe-XVIe siècles,source : Institut national d'histoire de l'art (France) ; Bibliothèque nationale de France§licence : Attribution 4.0 International (CC BY 4.0),https://agorha.inha.fr/iiif/presentation/v2/139a2d94-39d1-46dd-8732-ee3b8c6ba199,https://agorha.inha.fr/ark:/54721/26deb1d2-50e0-45db-b6f2-c944f9353dbd/doc/52f1caaa-137d-49f0-971a-1d469fd7162f/original.jpg
"Crucifixion, Mise au tombeau, Tentation au désert et Résurrection",peinture§triptyque,,4126,Musée de l'Institute of Ethiopian Studies à ajouter,,16e siècle - 16e siècle,1501§1700,,Ethiopie,"9,39.5",,,,,,Crucifixion§Mise au tombeau§Résurrection du Christ,,,Restaurée par Fritz Weihs en 1973,,,,,,,"Crucifixion, Mise au tombeau, Tentation au désert et Résurrection, peinture (16e siècle - Après 16e siècle)",http://agorha.inha.fr/ark:/54721/f9c3021f-854d-4bac-a5ea-155f0f061aca,f9c3021f-854d-4bac-a5ea-155f0f061aca,smirabau,16/07/2021,30/03/2022,La fabrique matérielle du visuel. Panneaux peints en Méditerranée XIIIe-XVIe siècles,source : Institut national d'histoire de l'art (France) ; Bibliothèque nationale de France§licence : Attribution 4.0 International (CC BY 4.0),https://agorha.inha.fr/iiif/presentation/v2/f9c3021f-854d-4bac-a5ea-155f0f061aca,http://agorha.inha.fr/ark:/54721/2fe37a43-7333-452c-9c77-66244215647b/doc/b97f473e-7837-46b9-937b-bb7f9fce16c9/original.JPG
